NO,UP3,ULP,PENYULANG,ALAMAT,NOMOR_GARDU,NOMOR_TIANG,PHASA,DAYA_KVA,MERK,BEBAN_NOMINAL_AMPERE,JUR_X1_A,JUR_X2_A,JUR_X3_A,N_A_A,JUR_X1_B,JUR_X2_B,JUR_X3_B,N_A_B,BEBAN_REAL_AMPERE,Persentase_BEBAN,TEG_PANGKAL_X1_A,TEG_PANGKAL_X2_A,TEG_PANGKAL_X1_B,TEG_PANGKAL_X2_B,TEG_UJUNG_X1_A,TEG_UJUNG_X2_A,TEG_UJUNG_X1_B,TEG_UJUNG_X2_B,TEG_TM,FREK,TANGGAL,JAM,PETUGAS,KETERANGAN
19,CILACAP,GOMBONG,GBG 10,,,GBG02-163-U40,1,50,SINTRA,227.27,53.40,69.50,,13.30,,,,,122.9,0.54,220.70,,,,215.70,,,,19.61,50.00,2018-05-06,18.36,YULI PUSPITO/HERY SUGIYANTO,
20,CILACAP,GOMBONG,GBG 05,,,GBG02-164,1,50,SINTRA,227.27,87.00,87.10,,92.80,,,,,174.1,0.77,219.00,,,,214.00,,,,19.45,50.00,2018-05-06,18.40,YULI PUSPITO/HERY SUGIYANTO,
21,CILACAP,GOMBONG,GBG 02,,,GBG02-166-S02,1,50,SINTRA,227.27,37.90,48.60,,15.60,,,,,86.5,0.38,221.18,,,,216.18,,,,19.65,50.00,2018-05-07,18.27,YULI PUSPITO/HERY SUGIYANTO,
22,CILACAP,GOMBONG,GBG 04,,,GBG02-166-S03,1,25,B & D,113.64,50.40,39.70,,10.60,,,,,90.1,0.79,211.20,,,,206.20,,,,18.74,50.00,2018-05-07,18.47,YULI PUSPITO/HERY SUGIYANTO,
23,CILACAP,GOMBONG,GBG 06,,,GBG02-166-S17-B03,1,50,TRAFINDO,227.27,34.30,50.40,,39.70,,,,,84.7,0.37,192.60,,,,187.60,,,,17.05,50.00,2018-05-07,19.06,YULI PUSPITO/HERY SUGIYANTO,
24,CILACAP,GOMBONG,GBG 05,,,GBG02-166-S17-B04,1,25,MAJINTRA,113.64,69.30,53.70,,12.50,,,,,123,1.08,233.10,,,,228.10,,,,20.73,50.00,2018-05-07,19.08,YULI PUSPITO/HERY SUGIYANTO,TRAFO REMBES
25,CILACAP,GOMBONG,GBG 10,,,GBG02-168,1,50,UNINDO,227.27,45.20,64.20,,17.20,,,,,109.4,0.48,220.10,,,,215.10,,,,19.55,50.00,2018-05-07,19.10,YULI PUSPITO/HERY SUGIYANTO,
26,CILACAP,GOMBONG,GBG 06,,,GBG02-169,1,25,B & D,113.64,23.20,31.50,,9.20,,,,,54.7,0.48,220.20,,,,215.20,,,,19.56,50.00,2018-05-07,19.12,YULI PUSPITO/HERY SUGIYANTO,
27,CILACAP,GOMBONG,GBG 06,,,GBG02-170,1,50,SINTRA,227.27,80.60,89.10,,7.00,,,,,169.7,0.75,220.60,,,,215.60,,,,19.60,50.00,2018-05-07,19.45,YULI PUSPITO/HERY SUGIYANTO,
28,CILACAP,GOMBONG,GBG 06,,,GBG02-175,1,50,TRAFINDO,227.27,67.70,79.40,,4.30,,,,,147.1,0.65,220.30,,,,215.30,,,,19.57,50.00,2018-05-07,19.48,YULI PUSPITO/HERY SUGIYANTO,
29,CILACAP,GOMBONG,GBG 10,,,GBG02-176,1,25,COOPER,113.64,22.40,31.70,,11.10,,,,,54.1,0.48,212.30,,,,207.30,,,,18.84,50.00,2018-05-07,19.59,YULI PUSPITO/HERY SUGIYANTO,
30,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U05,1,50,SINTRA,227.27,71.60,63.80,,6.00,,,,,135.4,0.60,220.10,,,,215.10,,,,19.55,50.00,2018-05-07,20.15,YULI PUSPITO/HERY SUGIYANTO,
31,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U02,1,50,VOLTRA,227.27,15.30,20.50,,15.20,,,,,35.8,0.16,204.10,,,,199.10,,,,18.10,50.00,2018-05-07,20.20,YULI PUSPITO/HERY SUGIYANTO,
32,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U15,1,50,SINTRA,227.27,4.40,15.20,,20.50,,,,,19.6,0.09,223.40,,,,218.40,,,,19.85,50.00,2018-05-07,20.36,YULI PUSPITO/HERY SUGIYANTO,
33,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U16-B01,1,50,B & D,227.27,0.00,0.00,,0.00,,,,,0,0.00,0.00,,,,0.00,,,,0.00,50.00,2018-05-08,18.20,YULI PUSPITO/HERY SUGIYANTO,
34,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U22-T02,1,25,B & D,113.64,8.10,26.50,,7.50,,,,,34.6,0.30,209.10,,,,204.10,,,,18.55,50.00,2018-05-08,18.25,YULI PUSPITO/HERY SUGIYANTO,
35,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U25,1,50,VOLTRA,227.27,3.40,10.20,,3.20,,,,,13.6,0.06,210.00,,,,205.00,,,,18.63,50.00,2018-05-08,18.28,YULI PUSPITO/HERY SUGIYANTO,
36,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U29-B05,1,25,J & P,113.64,15.10,21.00,,20.10,,,,,36.1,0.32,210.50,,,,205.50,,,,18.68,50.00,2018-05-08,18.33,YULI PUSPITO/HERY SUGIYANTO,
37,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U37,1,25,COOPER,113.64,31.40,12.00,,4.80,,,,,43.4,0.38,212.00,,,,207.00,,,,18.82,50.00,2018-05-08,18.47,YULI PUSPITO/HERY SUGIYANTO,
38,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U46,1,50,VOLTRA,227.27,34.80,34.20,,3.70,,,,,69,0.30,218.70,,,,213.70,,,,19.43,50.00,2018-05-08,18.52,YULI PUSPITO/HERY SUGIYANTO,
39,CILACAP,GOMBONG,GBG 04,,,GBG02-180-U57,1,50,B & D,227.27,103.00,67.10,,102.00,,,,,170.1,0.75,218.00,,,,213.00,,,,19.36,50.00,2018-05-08,19.00,YULI PUSPITO/HERY SUGIYANTO,
40,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U64-B03,1,50,B & D,227.27,38.80,42.60,,44.40,,,,,81.4,0.36,217.00,,,,212.00,,,,19.27,50.00,2018-05-08,19.07,YULI PUSPITO/HERY SUGIYANTO,
41,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U73,1,25,MORAWA,113.64,22.50,6.80,,15.40,,,,,29.3,0.26,221.00,,,,216.00,,,,19.63,50.00,2018-05-08,19.14,YULI PUSPITO/HERY SUGIYANTO,
42,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U97,1,25,MORAWA,113.64,29.70,27.00,,4.70,,,,,56.7,0.50,216.10,,,,211.10,,,,19.19,50.00,2018-05-08,19.22,YULI PUSPITO/HERY SUGIYANTO,
43,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U112,1,25,COOPER,113.64,30.40,29.00,,0.00,,,,,59.4,0.52,217.10,,,,212.10,,,,19.28,50.00,2018-05-08,19.29,YULI PUSPITO/HERY SUGIYANTO,
44,CILACAP,GOMBONG,GBG 08,,,GBG02-180-U113,1,25,MORAWA,113.64,29.00,30.40,,15.20,,,,,59.4,0.52,218.00,,,,213.00,,,,19.36,50.00,2018-05-08,19.41,YULI PUSPITO/HERY SUGIYANTO,
45,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U118-U03,1,25,MORAWA,113.64,25.10,11.00,,2.00,,,,,36.1,0.32,218.50,,,,213.50,,,,19.41,50.00,2018-05-08,20.02,YULI PUSPITO/HERY SUGIYANTO,
46,CILACAP,GOMBONG,GBG 08,,,GBG02-180-U118-U12,1,50,B & D,227.27,14.40,69.30,,58.10,,,,,83.7,0.37,204.40,,,,199.40,,,,18.13,50.00,2018-05-08,20.12,YULI PUSPITO/HERY SUGIYANTO,
47,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U118-U39,1,25,COOPER,113.64,12.50,9.40,,12.20,,,,,21.9,0.19,214.00,,,,209.00,,,,19.00,50.00,2018-05-08,20.20,YULI PUSPITO/HERY SUGIYANTO,
48,CILACAP,GOMBONG,GBG 04,,,GBG02-180-U118-T06,1,25,COOPER,113.64,3.70,8.40,,4.70,,,,,12.1,0.11,220.00,,,,215.00,,,,19.54,50.00,2018-05-08,20.26,YULI PUSPITO/HERY SUGIYANTO,
49,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U118-T06-U05,1,25,COOPER,113.64,9.70,19.90,,11.20,,,,,29.6,0.26,221.00,,,,216.00,,,,19.63,50.00,2018-05-08,20.37,YULI PUSPITO/HERY SUGIYANTO,
50,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U118-T06-U10,1,25,MAJINTRA,113.64,20.50,32.50,,10.80,,,,,53,0.47,207.00,,,,202.00,,,,18.36,50.00,2018-05-11,18.45,YULI PUSPITO/HERY SUGIYANTO,
51,CILACAP,GOMBONG,KBM 04,,,GBG02-180-U118-T12,1,50,TRAFINDO,227.27,23.10,33.40,,9.30,,,,,56.5,0.25,220.00,,,,215.00,,,,19.54,50.00,2018-05-11,19.00,YULI PUSPITO/HERY SUGIYANTO,
52,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U118-T21,1,25,COOPER,113.64,10.00,18.20,,17.50,,,,,28.2,0.25,200.00,,,,195.00,,,,17.73,50.00,2018-05-11,19.09,YULI PUSPITO/HERY SUGIYANTO,
53,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U118-T31,1,25,COOPER,113.64,8.30,24.20,,1.40,,,,,32.5,0.29,229.00,,,,224.00,,,,20.36,50.00,2018-05-11,19.19,YULI PUSPITO/HERY SUGIYANTO,
54,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U118-T31-U07,1,25,COOPER,113.64,27.20,11.90,,16.50,,,,,39.1,0.34,212.00,,,,207.00,,,,18.82,50.00,2018-05-11,19.30,YULI PUSPITO/HERY SUGIYANTO,
55,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U118-T31-U16,1,25,COOPER,113.64,24.70,8.80,,15.10,,,,,33.5,0.29,204.00,,,,199.00,,,,18.09,50.00,2018-05-11,19.48,YULI PUSPITO/HERY SUGIYANTO,
56,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U118-T31-U08-T09,3,100,STARLITE,454.55,57.50,20.50,52.70,0.00,,,,,130.7,0.29,376.60,363.50,,,375.10,362.50,,,19.40,50.00,2018-05-12,09.38,YULI PUSPITO/HERY SUGIYANTO,
57,CILACAP,GOMBONG,GBG 01,,,GBG02-180-U118-T31-U08-T23,3,160,UNINDO,727.27,91.00,104.00,90.50,8.30,,,,,285.5,0.39,396.20,393.30,,,395.20,392.30,,,20.71,50.00,2018-05-12,09.43,YULI PUSPITO/HERY SUGIYANTO,
58,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U118-T31-U08-T28,3,100,TRAFINDO,454.55,59.60,46.10,69.10,62.90,,,,,174.8,0.38,406.10,390.50,,,405.10,389.50,,,20.90,50.00,2018-05-12,09.55,YULI PUSPITO/HERY SUGIYANTO,
59,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U118-T49-S10,3,160,TRAFINDO,727.27,42.20,63.30,68.40,28.90,,,,,173.9,0.24,405.40,403.40,,,404.40,402.40,,,21.22,50.00,2018-05-12,10.00,YULI PUSPITO/HERY SUGIYANTO,
60,CILACAP,GOMBONG,GBG 04,,,GBG02-180-U118-T54,3,160,TRAFINDO,727.27,83.90,84.90,91.20,32.60,,,,,260,0.36,393.70,395.30,,,392.70,394.30,,,20.70,50.00,2018-05-12,10.07,YULI PUSPITO/HERY SUGIYANTO,
61,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U118-T61-S10,3,50,B & D,227.27,42.40,40.60,34.00,32.60,,,,,117,0.51,384.50,381.00,,,383.50,380.00,,,20.08,50.00,2018-05-12,10.12,YULI PUSPITO/HERY SUGIYANTO,
62,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U118-T65,3,100,STARLITE,454.55,69.20,21.00,10.50,28.00,,,,,100.7,0.22,378.10,385.90,,,377.10,384.90,,,20.04,50.00,2018-05-12,10.17,YULI PUSPITO/HERY SUGIYANTO,
63,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U118-T74,3,160,TRAFINDO,727.27,57.10,114.10,97.80,53.50,,,,,269,0.37,401.90,402.70,,,400.90,401.70,,,21.11,50.00,2018-05-12,10.27,YULI PUSPITO/HERY SUGIYANTO,
64,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U118-T79-S09,3,160,STARLITE,727.27,79.50,79.70,72.40,13.50,,,,,231.6,0.32,403.60,406.70,,,402.60,405.70,,,21.26,50.00,2018-05-12,10.35,YULI PUSPITO/HERY SUGIYANTO,
65,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U118-T54-T25,3,250,STARLITE,1136.36,15.70,15.00,11.50,6.50,,,,,42.2,0.04,408.00,403.20,,,407.00,402.20,,,21.28,50.00,2018-05-12,10.40,YULI PUSPITO/HERY SUGIYANTO,
66,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U118-T87,3,160,SCHNEIDER,727.27,77.10,57.70,106.40,15.10,,,,,241.2,0.33,404.30,402.10,,,401.30,401.10,,,21.10,50.00,2018-05-12,10.52,YULI PUSPITO/HERY SUGIYANTO,
67,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U118-T97,3,160,UNINDO,727.27,106.50,45.50,102.60,53.10,,,,,254.6,0.35,409.50,401.80,,,408.50,400.80,,,21.28,50.00,2018-05-12,11.00,YULI PUSPITO/HERY SUGIYANTO,
68,CILACAP,GOMBONG,GBG 04,,,GBG02-180-U07-T04 b,3,100,SINTRA,454.55,22.30,51.50,54.90,9.90,,,,,128.7,0.28,396.90,309.90,,,394.90,308.90,,,18.51,50.00,2018-05-12,11.15,YULI PUSPITO/HERY SUGIYANTO,
69,CILACAP,GOMBONG,GBG 09,,,GBG02-180-U07-T04,3,160,TRAFINDO,727.27,129.00,77.90,93.80,36.70,,,,,300.7,0.41,403.30,401.40,,,402.30,400.40,,,21.11,50.00,2018-05-12,13.15,YULI PUSPITO/HERY SUGIYANTO,
70,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U07-T06-U04,3,200,B & D,909.09,123.50,117.40,36.40,38.40,,,,,277.3,0.31,405.00,405.30,,,404.00,404.30,,,21.26,50.00,2018-05-12,13.23,YULI PUSPITO/HERY SUGIYANTO,
71,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U07-T06-U06,3,160,TRAFINDO,727.27,82.00,69.20,69.10,9.30,,,,,220.3,0.30,404.30,394.20,,,403.30,393.20,,,20.95,50.00,2018-05-12,13.30,YULI PUSPITO/HERY SUGIYANTO,
72,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U07-T06-U12,3,160,TRAFINDO,727.27,82.00,65.50,59.50,27.80,,,,,207,0.28,403.80,402.50,,,402.80,401.50,,,21.15,50.00,2018-05-12,13.40,YULI PUSPITO/HERY SUGIYANTO,
73,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U07-T06-U19,3,200,TRAFINDO,909.09,0.90,4.20,3.10,3.40,,,,,8.2,0.01,408.30,405.70,,,407.30,404.70,,,21.36,50.00,2018-05-12,13.45,YULI PUSPITO/HERY SUGIYANTO,
74,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U07-T06-U25-T07,3,160,TRAFINDO,727.27,25.90,15.30,22.70,15.90,,,,,63.9,0.09,407.60,405.30,,,406.60,404.80,,,21.34,50.00,2018-05-12,13.51,YULI PUSPITO/HERY SUGIYANTO,
75,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U07-T06-U28-B06,3,100,STARLITE,454.55,19.20,22.60,25.10,5.90,,,,,66.9,0.15,406.20,403.90,,,405.20,402.90,,,21.25,50.00,2018-05-12,14.03,YULI PUSPITO/HERY SUGIYANTO,
76,CILACAP,GOMBONG,GBG 06,,,GBG02-180-U07-T06-U28-B08,3,100,B & D,454.55,107.60,75.60,55.70,16.50,,,,,238.9,0.53,399.40,401.50,,,398.40,400.50,,,21.01,50.00,2018-05-12,14.15,YULI PUSPITO/HERY SUGIYANTO,
77,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U07-T06-U28-B12,3,160,B & D,727.27,48.60,102.00,88.70,0.40,,,,,239.3,0.33,399.10,400.20,,,398.10,399.20,,,20.97,50.00,2018-05-12,14.37,YULI PUSPITO/HERY SUGIYANTO,
78,CILACAP,GOMBONG,GBG 10,,,GBG02-180-U07-T06-U33,3,50,TRAFINDO,227.27,15.10,46.90,33.50,10.50,,,,,95.5,0.42,394.30,390.70,,,393.30,389.70,,,20.59,50.00,2018-05-13,09.20,YULI PUSPITO/HERY SUGIYANTO,
79,CILACAP,GOMBONG,GBG 05,,,GBG02-180-U07-T06-U51,3,100,SINTRA,454.55,34.70,56.10,32.20,4.30,,,,,123,0.27,404.60,403.30,,,403.60,402.20,,,21.19,50.00,2018-05-13,09.30,YULI PUSPITO/HERY SUGIYANTO,
80,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U07-T06-U64-U04,3,50,STARLITE,227.27,21.30,23.00,13.60,2.40,,,,,57.9,0.25,406.50,401.40,,,405.50,400.40,,,21.20,50.00,2018-05-13,09.41,YULI PUSPITO/HERY SUGIYANTO,
81,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U07-T06-U72,3,100,SINTRA,454.55,83.90,70.30,4.50,9.30,,,,,158.7,0.35,400.40,402.60,,,399.40,401.60,,,21.07,50.00,2018-05-13,09.47,YULI PUSPITO/HERY SUGIYANTO,
82,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U07-T06-U83,3,200,TRAFINDO,909.09,6.40,39.00,24.20,31.10,,,,,69.6,0.08,405.50,403.00,,,404.50,402.00,,,21.21,50.00,2018-05-13,10.00,YULI PUSPITO/HERY SUGIYANTO,
83,CILACAP,GOMBONG,GBG 08,,,GBG02-180-U07-T06-U17-T04,3,160,UNINDO,727.27,127.50,37.30,52.90,28.90,,,,,217.7,0.30,405.80,398.30,,,404.80,397.30,,,21.10,50.00,2018-05-13,10.05,YULI PUSPITO/HERY SUGIYANTO,
84,CILACAP,GOMBONG,GBG 08,,,GBG02-180-U07-T06-U17-T11,3,160,TRAFINDO,727.27,95.90,79.90,80.20,26.70,,,,,256,0.35,403.00,400.60,,,402.00,399.60,,,21.08,50.00,2018-05-13,10.10,YULI PUSPITO/HERY SUGIYANTO,
85,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U07-T06-U17-T32,3,100,TRAFINDO,454.55,41.30,149.40,37.20,47.30,,,,,227.9,0.50,403.20,400.70,,,402.20,399.70,,,21.09,50.00,2018-05-13,10.15,YULI PUSPITO/HERY SUGIYANTO,
86,CILACAP,GOMBONG,GBG 04,,,GBG02-180-U07-T06-U17-T36-U12,3,160,SINTRA,727.27,121.20,54.10,77.00,28.10,,,,,252.3,0.35,403.70,395.60,,,402.70,394.60,,,20.97,50.00,2018-05-13,10.20,YULI PUSPITO/HERY SUGIYANTO,
87,CILACAP,GOMBONG,GBG 08,,,GBG02-180-U07-T06-U17-T41,3,100,SINTRA,454.55,77.70,47.80,48.80,16.70,,,,,174.3,0.38,400.00,399.10,,,399.00,398.10,,,20.96,50.00,2018-05-13,10.25,YULI PUSPITO/HERY SUGIYANTO,
88,CILACAP,GOMBONG,GBG 02,,,GBG02-180-U07-T06-U17-T54,3,50,B & D,227.27,0.00,0.00,8.10,7.70,,,,,8.1,0.04,406.00,402.60,,,405.00,401.60,,,21.21,50.00,2018-05-13,10.30,YULI PUSPITO/HERY SUGIYANTO,
89,CILACAP,GOMBONG,GBG 10,,,GBG02-181,3,200,STARLITE,909.09,91.70,109.10,82.10,41.20,,,,,282.9,0.31,385.20,381.90,,,384.20,380.90,,,20.12,50.00,2018-05-13,10.36,YULI PUSPITO/HERY SUGIYANTO,
90,CILACAP,GOMBONG,GBG 06,,,GBG02-182,3,100,SCHNEIDER,454.55,27.30,66.40,39.30,49.70,,,,,133,0.29,405.40,401.60,,,404.40,400.60,,,21.17,50.00,2018-05-13,10.45,YULI PUSPITO/HERY SUGIYANTO,
91,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0003,3,100,STARLITE,454.55,28.70,45.40,18.30,2.50,,,,,92.4,0.20,397.80,359.90,,,396.80,358.90,,,19.87,50.00,2018-05-13,11.05,YULI PUSPITO/HERY SUGIYANTO,
92,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0004,3,50,B & D,227.27,6.40,6.50,17.80,0.00,,,,,30.7,0.14,399.30,395.00,,,398.30,394.00,,,20.84,50.00,2018-05-13,11.16,YULI PUSPITO/HERY SUGIYANTO,
93,CILACAP,GOMBONG,GBG 06,,,GBG.06 0049 T0006,3,100,SINTRA,454.55,55.00,49.20,54.80,12.60,,,,,159,0.35,382.70,380.50,,,381.70,379.50,,,20.02,50.00,2018-05-13,13.26,YULI PUSPITO/HERY SUGIYANTO,
94,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0010,3,100,SINTRA,454.55,100.20,105.10,38.80,6.20,,,,,244.1,0.54,381.50,379.10,,,380.50,378.10,,,19.95,50.00,2018-05-13,13.33,YULI PUSPITO/HERY SUGIYANTO,
95,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0010 S0004,3,100,STARLITE,454.55,95.00,73.40,63.90,29.50,,,,,232.3,0.51,404.90,399.40,,,403.90,398.40,,,21.10,50.00,2018-05-13,13.41,YULI PUSPITO/HERY SUGIYANTO,
96,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0010 S0009,3,100,TRAFINDO,454.55,3.70,2.80,3.10,0.00,,,,,9.6,0.02,0.00,0.00,,,0.00,0.00,,,0.00,50.00,2018-05-13,13.47,YULI PUSPITO/HERY SUGIYANTO,
97,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0013,3,100,SINTRA,454.55,191.40,80.60,73.30,73.80,,,,,345.3,0.76,394.70,398.60,,,393.70,397.60,,,20.81,50.00,2018-05-13,13.53,YULI PUSPITO/HERY SUGIYANTO,
98,CILACAP,GOMBONG,GBG 10,,,GBG.06 0049 T0014,3,200,STARLITE,909.09,57.80,71.20,86.80,16.10,,,,,215.8,0.24,385.00,380.60,,,384.00,379.60,,,20.08,50.00,2018-05-13,14.04,YULI PUSPITO/HERY SUGIYANTO,
